Dx,Dy,Dz
-1.6713,3.1411,1.8276
-2.0051,-2.7442,0.096478
-0.31538,3.7284,1.4141
-1.1025,-3.5013,1.5892
-2.5758,1.0367,-2.8793
-0.57123,1.7457,2.8612
-2.3215,-1.2147,-2.1668
-0.90519,-1.6278,-2.8444
2.1599,2.3185,1.2325
0.63442,3.3198,0.36924
-0.078047,-3.7275,1.4491
-0.90641,-3.8888,0.23569
1.1543,3.1455,2.1848
2.7064,-0.9577,-2.7853
2.1058,-2.867,1.8292
